Algo	Type	runs	id	iterations	Found	time
AVM	Break 	0	0	1	 true 	0.728
AVM	Break 	1	0	1	 true 	0.651
AVM	Break 	2	0	1	 true 	0.521
AVM	Break 	3	0	1	 true 	0.186
AVM	Break 	4	0	1	 true 	0.790
AVM	Break 	5	0	1	 true 	0.228
AVM	Break 	6	0	1	 true 	0.942
AVM	Break 	7	0	1	 true 	0.630
AVM	Break 	8	0	1	 true 	0.691
AVM	Break 	9	0	1	 true 	0.242
AVM	Break 	10	0	1	 true 	0.658
AVM	Break 	11	0	1	 true 	0.716
AVM	Break 	12	0	1	 true 	0.604
AVM	Break 	13	0	1	 true 	0.701
AVM	Break 	14	0	1	 true 	0.668
AVM	Break 	15	0	1	 true 	0.676
AVM	Break 	16	0	1	 true 	0.314
AVM	Break 	17	0	1	 true 	0.914
AVM	Break 	18	0	1	 true 	0.281
AVM	Break 	19	0	1	 true 	0.914
AVM	Break 	20	0	1	 true 	0.481
AVM	Break 	21	0	1	 true 	0.913
AVM	Break 	22	0	1	 true 	0.718
AVM	Break 	23	0	1	 true 	0.446
AVM	Break 	24	0	1	 true 	0.265
AVM	Break 	25	0	1	 true 	0.408
AVM	Break 	26	0	1	 true 	0.754
AVM	Break 	27	0	1	 true 	0.189
AVM	Break 	28	0	1	 true 	0.428
AVM	Break 	29	0	1	 true 	0.391
AVM	Break 	30	0	1	 true 	0.294
AVM	Break 	31	0	1	 true 	0.963
AVM	Break 	32	0	1	 true 	0.195
AVM	Break 	33	0	1	 true 	0.267
AVM	Break 	34	0	1	 true 	0.824
AVM	Break 	35	0	1	 true 	0.869
AVM	Break 	36	0	1	 true 	0.208
AVM	Break 	37	0	1	 true 	0.633
AVM	Break 	38	0	1	 true 	0.433
AVM	Break 	39	0	1	 true 	0.626
AVM	Break 	40	0	1	 true 	0.632
AVM	Break 	41	0	1	 true 	0.623
AVM	Break 	42	0	1	 true 	0.797
AVM	Break 	43	0	1	 true 	0.229
AVM	Break 	44	0	1	 true 	0.952
AVM	Break 	45	0	1	 true 	0.959
AVM	Break 	46	0	1	 true 	0.968
AVM	Break 	47	0	1	 true 	0.737
AVM	Break 	48	0	1	 true 	0.236
AVM	Break 	49	0	1	 true 	0.316
AVM	Break 	50	0	1	 true 	0.865
AVM	Break 	51	0	1	 true 	0.848
AVM	Break 	52	0	1	 true 	0.425
AVM	Break 	53	0	1	 true 	0.311
AVM	Break 	54	0	1	 true 	0.578
AVM	Break 	55	0	1	 true 	0.759
AVM	Break 	56	0	1	 true 	0.391
AVM	Break 	57	0	1	 true 	0.676
AVM	Break 	58	0	1	 true 	0.785
AVM	Break 	59	0	1	 true 	0.401
AVM	Break 	60	0	1	 true 	0.549
AVM	Break 	61	0	1	 true 	0.610
AVM	Break 	62	0	1	 true 	0.721
AVM	Break 	63	0	1	 true 	0.961
AVM	Break 	64	0	1	 true 	0.876
AVM	Break 	65	0	1	 true 	0.697
AVM	Break 	66	0	1	 true 	0.383
AVM	Break 	67	0	1	 true 	0.791
AVM	Break 	68	0	1	 true 	0.200
AVM	Break 	69	0	1	 true 	0.502
AVM	Break 	70	0	1	 true 	0.772
AVM	Break 	71	0	1	 true 	0.783
AVM	Break 	72	0	1	 true 	0.346
AVM	Break 	73	0	1	 true 	0.583
AVM	Break 	74	0	1	 true 	0.620
AVM	Break 	75	0	1	 true 	0.896
AVM	Break 	76	0	1	 true 	0.926
AVM	Break 	77	0	1	 true 	0.918
AVM	Break 	78	0	1	 true 	0.379
AVM	Break 	79	0	1	 true 	0.330
