Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	0	0	1	 true 	0.867											
AVM	Break 	1	0	1	 true 	0.289											
AVM	Break 	2	0	1	 true 	0.472											
AVM	Break 	3	0	1	 true 	0.620											
AVM	Break 	4	0	1	 true 	0.609											
AVM	Break 	5	0	1	 true 	0.519											
AVM	Break 	6	0	1	 true 	0.514											
AVM	Break 	7	0	1	 true 	0.584											
AVM	Break 	8	0	1	 true 	0.353											
AVM	Break 	9	0	1	 true 	0.658											
AVM	Break 	10	0	1	 true 	0.378											
AVM	Break 	11	0	1	 true 	0.720											
AVM	Break 	12	0	1	 true 	0.402											
AVM	Break 	13	0	1	 true 	0.489											
AVM	Break 	14	0	1	 true 	0.090											
AVM	Break 	15	0	1	 true 	0.090											
AVM	Break 	16	0	1	 true 	0.754											
AVM	Break 	17	0	1	 true 	0.134											
AVM	Break 	18	0	1	 true 	0.422											
AVM	Break 	19	0	1	 true 	0.311											
AVM	Break 	20	0	1	 true 	0.751											
AVM	Break 	21	0	1	 true 	0.197											
AVM	Break 	22	0	1	 true 	0.072											
AVM	Break 	23	0	1	 true 	0.124											
AVM	Break 	24	0	1	 true 	0.667											
AVM	Break 	25	0	1	 true 	0.471											
AVM	Break 	26	0	1	 true 	0.320											
AVM	Break 	27	0	1	 true 	0.438											
AVM	Break 	28	0	1	 true 	0.204											
AVM	Break 	29	0	1	 true 	0.752											
AVM	Break 	30	0	1	 true 	0.645											
AVM	Break 	31	0	1	 true 	0.479											
AVM	Break 	32	0	1	 true 	0.841											
AVM	Break 	33	0	1	 true 	0.535											
AVM	Break 	34	0	1	 true 	0.200											
AVM	Break 	35	0	1	 true 	0.656											
AVM	Break 	36	0	1	 true 	0.574											
AVM	Break 	37	0	1	 true 	0.648											
AVM	Break 	38	0	1	 true 	0.582											
AVM	Break 	39	0	1	 true 	0.299											
AVM	Break 	40	0	1	 true 	0.758											
AVM	Break 	41	0	1	 true 	0.360											
AVM	Break 	42	0	1	 true 	0.421											
AVM	Break 	43	0	1	 true 	0.765											
AVM	Break 	44	0	1	 true 	0.110											
AVM	Break 	45	0	1	 true 	0.309											
AVM	Break 	46	0	1	 true 	0.319											
AVM	Break 	47	0	1	 true 	0.398											
AVM	Break 	48	0	1	 true 	0.434											
AVM	Break 	49	0	1	 true 	0.708											
AVM	Break 	50	0	1	 true 	0.208											
AVM	Break 	51	0	1	 true 	0.116											
AVM	Break 	52	0	1	 true 	0.372											
AVM	Break 	53	0	1	 true 	0.799											
AVM	Break 	54	0	1	 true 	0.125											
AVM	Break 	55	0	1	 true 	0.129											
AVM	Break 	56	0	1	 true 	0.278											
AVM	Break 	57	0	1	 true 	0.164											
AVM	Break 	58	0	1	 true 	0.124											
AVM	Break 	59	0	1	 true 	0.635											
AVM	Break 	60	0	1	 true 	0.810											
AVM	Break 	61	0	1	 true 	0.183											
AVM	Break 	62	0	1	 true 	0.690											
AVM	Break 	63	0	1	 true 	0.649											
AVM	Break 	64	0	1	 true 	0.821											
AVM	Break 	65	0	1	 true 	0.458											
AVM	Break 	66	0	1	 true 	0.270											
AVM	Break 	67	0	1	 true 	0.662											
AVM	Break 	68	0	1	 true 	0.194											
AVM	Break 	69	0	1	 true 	0.866											
AVM	Break 	70	0	1	 true 	0.636											
AVM	Break 	71	0	1	 true 	0.253											
AVM	Break 	72	0	1	 true 	0.855											
AVM	Break 	73	0	1	 true 	0.233											
AVM	Break 	74	0	1	 true 	0.237											
AVM	Break 	75	0	1	 true 	0.824											
AVM	Break 	76	0	1	 true 	0.570											
AVM	Break 	77	0	1	 true 	0.236											
AVM	Break 	78	0	1	 true 	0.255											
AVM	Break 	79	0	1	 true 	0.361											
AVM	Break 	80	0	1	 true 	0.207											
AVM	Break 	81	0	1	 true 	0.693											
AVM	Break 	82	0	1	 true 	0.092											
AVM	Break 	83	0	1	 true 	0.673											
AVM	Break 	84	0	1	 true 	0.476											
AVM	Break 	85	0	1	 true 	0.561											
AVM	Break 	86	0	1	 true 	0.742											
AVM	Break 	87	0	1	 true 	0.739											
AVM	Break 	88	0	1	 true 	0.077											
AVM	Break 	89	0	1	 true 	0.231											
AVM	Break 	90	0	1	 true 	0.536											
AVM	Break 	91	0	1	 true 	0.280											
AVM	Break 	92	0	1	 true 	0.268											
AVM	Break 	93	0	1	 true 	0.438											
AVM	Break 	94	0	1	 true 	0.506											
AVM	Break 	95	0	1	 true 	0.794											
AVM	Break 	96	0	1	 true 	0.299											
AVM	Break 	97	0	1	 true 	0.122											
AVM	Break 	98	0	1	 true 	0.771											
AVM	Break 	99	0	1	 true 	0.637											
AVM	Break 	0	1	1	 true 	0.910											
AVM	Break 	1	1	1	 true 	0.960											
AVM	Break 	2	1	1	 true 	1.204											
AVM	Break 	3	1	1	 true 	1.040											
AVM	Break 	4	1	1	 true 	1.456											
AVM	Break 	5	1	1	 true 	1.083											
AVM	Break 	6	1	1	 true 	0.980											
AVM	Break 	7	1	1	 true 	1.467											
AVM	Break 	8	1	1	 true 	1.017											
AVM	Break 	9	1	1	 true 	1.270											
AVM	Break 	10	1	1	 true 	0.968											
AVM	Break 	11	1	1	 true 	1.419											
AVM	Break 	12	1	1	 true 	1.531											
AVM	Break 	13	1	1	 true 	1.000											
AVM	Break 	14	1	1	 true 	1.196											
AVM	Break 	15	1	1	 true 	1.406											
AVM	Break 	16	1	1	 true 	1.387											
AVM	Break 	17	1	1	 true 	1.122											
AVM	Break 	18	1	1	 true 	0.843											
AVM	Break 	19	1	1	 true 	1.319											
AVM	Break 	20	1	1	 true 	0.855											
AVM	Break 	21	1	1	 true 	1.200											
AVM	Break 	22	1	1	 true 	1.445											
AVM	Break 	23	1	1	 true 	1.172											
AVM	Break 	24	1	1	 true 	1.098											
AVM	Break 	25	1	1	 true 	0.842											
AVM	Break 	26	1	1	 true 	1.586											
AVM	Break 	27	1	1	 true 	1.193											
AVM	Break 	28	1	1	 true 	1.528											
AVM	Break 	29	1	1	 true 	1.526											
AVM	Break 	30	1	1	 true 	1.564											
AVM	Break 	31	1	1	 true 	1.187											
AVM	Break 	32	1	1	 true 	0.922											
AVM	Break 	33	1	1	 true 	1.410											
AVM	Break 	34	1	1	 true 	0.869											
AVM	Break 	35	1	1	 true 	1.203											
AVM	Break 	36	1	1	 true 	1.144											
AVM	Break 	37	1	1	 true 	1.382											
AVM	Break 	38	1	1	 true 	1.377											
AVM	Break 	39	1	1	 true 	0.914											
AVM	Break 	40	1	1	 true 	1.440											
AVM	Break 	41	1	1	 true 	1.581											
AVM	Break 	42	1	1	 true 	1.275											
AVM	Break 	43	1	1	 true 	1.199											
AVM	Break 	44	1	1	 true 	1.083											
AVM	Break 	45	1	1	 true 	1.424											
AVM	Break 	46	1	1	 true 	1.491											
AVM	Break 	47	1	1	 true 	1.477											
AVM	Break 	48	1	1	 true 	1.565											
AVM	Break 	49	1	1	 true 	1.331											
AVM	Break 	50	1	1	 true 	1.047											
AVM	Break 	51	1	1	 true 	1.525											
AVM	Break 	52	1	1	 true 	1.136											
AVM	Break 	53	1	1	 true 	1.469											
AVM	Break 	54	1	1	 true 	1.417											
AVM	Break 	55	1	1	 true 	1.340											
AVM	Break 	56	1	1	 true 	1.524											
AVM	Break 	57	1	1	 true 	0.806											
AVM	Break 	58	1	1	 true 	1.363											
AVM	Break 	59	1	1	 true 	1.497											
AVM	Break 	60	1	1	 true 	0.968											
AVM	Break 	61	1	1	 true 	1.462											
AVM	Break 	62	1	1	 true 	0.892											
AVM	Break 	63	1	1	 true 	0.847											
AVM	Break 	64	1	1	 true 	0.797											
AVM	Break 	65	1	1	 true 	1.063											
AVM	Break 	66	1	1	 true 	1.229											
AVM	Break 	67	1	1	 true 	1.539											
AVM	Break 	68	1	1	 true 	1.344											
AVM	Break 	69	1	1	 true 	1.149											
AVM	Break 	70	1	1	 true 	0.798											
AVM	Break 	71	1	1	 true 	1.557											
AVM	Break 	72	1	1	 true 	0.920											
AVM	Break 	73	1	1	 true 	0.851											
AVM	Break 	74	1	1	 true 	1.565											
AVM	Break 	75	1	1	 true 	1.581											
AVM	Break 	76	1	1	 true 	1.459											
AVM	Break 	77	1	1	 true 	1.417											
AVM	Break 	78	1	1	 true 	1.109											
AVM	Break 	79	1	1	 true 	0.810											
AVM	Break 	80	1	1	 true 	1.060											
AVM	Break 	81	1	1	 true 	0.926											
AVM	Break 	82	1	1	 true 	1.315											
AVM	Break 	83	1	1	 true 	1.194											
AVM	Break 	84	1	1	 true 	1.477											
AVM	Break 	85	1	1	 true 	0.854											
AVM	Break 	86	1	1	 true 	1.419											
AVM	Break 	87	1	1	 true 	1.429											
AVM	Break 	88	1	1	 true 	1.217											
AVM	Break 	89	1	1	 true 	1.114											
AVM	Break 	90	1	1	 true 	1.250											
AVM	Break 	91	1	1	 true 	1.325											
AVM	Break 	92	1	1	 true 	1.559											
AVM	Break 	93	1	1	 true 	1.321											
AVM	Break 	94	1	1	 true 	0.908											
AVM	Break 	95	1	1	 true 	1.116											
AVM	Break 	96	1	1	 true 	1.487											
AVM	Break 	97	1	1	 true 	1.527											
AVM	Break 	98	1	1	 true 	1.145											
AVM	Break 	99	1	1	 true 	0.907											
AVM	Break 	0	2	1	 true 	0.777											
AVM	Break 	1	2	1	 true 	1.295											
AVM	Break 	2	2	1	 true 	0.963											
AVM	Break 	3	2	1	 true 	1.147											
AVM	Break 	4	2	1	 true 	0.897											
AVM	Break 	5	2	1	 true 	1.037											
AVM	Break 	6	2	1	 true 	0.605											
AVM	Break 	7	2	1	 true 	1.169											
AVM	Break 	8	2	1	 true 	0.746											
AVM	Break 	9	2	1	 true 	0.641											
AVM	Break 	10	2	1	 true 	0.601											
AVM	Break 	11	2	1	 true 	1.269											
AVM	Break 	12	2	1	 true 	0.983											
AVM	Break 	13	2	1	 true 	0.941											
AVM	Break 	14	2	1	 true 	1.092											
AVM	Break 	15	2	1	 true 	0.953											
AVM	Break 	16	2	1	 true 	1.140											
AVM	Break 	17	2	1	 true 	1.018											
AVM	Break 	18	2	1	 true 	1.389											
AVM	Break 	19	2	1	 true 	1.151											
AVM	Break 	20	2	1	 true 	1.353											
AVM	Break 	21	2	1	 true 	0.644											
AVM	Break 	22	2	1	 true 	1.093											
AVM	Break 	23	2	1	 true 	1.080											
AVM	Break 	24	2	1	 true 	1.269											
AVM	Break 	25	2	1	 true 	1.267											
AVM	Break 	26	2	1	 true 	1.131											
AVM	Break 	27	2	1	 true 	1.053											
AVM	Break 	28	2	1	 true 	0.940											
AVM	Break 	29	2	1	 true 	1.273											
AVM	Break 	30	2	1	 true 	0.861											
AVM	Break 	31	2	1	 true 	0.908											
AVM	Break 	32	2	1	 true 	1.182											
AVM	Break 	33	2	1	 true 	1.168											
AVM	Break 	34	2	1	 true 	1.014											
AVM	Break 	35	2	1	 true 	0.939											
AVM	Break 	36	2	1	 true 	0.855											
AVM	Break 	37	2	1	 true 	0.682											
AVM	Break 	38	2	1	 true 	0.857											
AVM	Break 	39	2	1	 true 	1.273											
AVM	Break 	40	2	1	 true 	1.270											
AVM	Break 	41	2	1	 true 	1.208											
AVM	Break 	42	2	1	 true 	1.235											
AVM	Break 	43	2	1	 true 	1.098											
AVM	Break 	44	2	1	 true 	0.906											
AVM	Break 	45	2	1	 true 	1.146											
AVM	Break 	46	2	1	 true 	0.649											
AVM	Break 	47	2	1	 true 	0.632											
AVM	Break 	48	2	1	 true 	1.029											
AVM	Break 	49	2	1	 true 	0.688											
AVM	Break 	50	2	1	 true 	1.161											
AVM	Break 	51	2	1	 true 	1.295											
AVM	Break 	52	2	1	 true 	0.893											
AVM	Break 	53	2	1	 true 	0.827											
