Algo	Type	runs	id	iterations	Found	time
AVM	Break 	0	0	1	 true 	0.421
AVM	Break 	1	0	1	 true 	0.658
AVM	Break 	2	0	1	 true 	0.915
AVM	Break 	3	0	1	 true 	1.032
AVM	Break 	4	0	1	 true 	1.162
AVM	Break 	5	0	1	 true 	0.671
AVM	Break 	6	0	1	 true 	0.916
AVM	Break 	7	0	1	 true 	0.517
AVM	Break 	8	0	1	 true 	0.858
AVM	Break 	9	0	1	 true 	0.816
AVM	Break 	10	0	1	 true 	0.839
AVM	Break 	11	0	1	 true 	0.779
AVM	Break 	12	0	1	 true 	0.911
AVM	Break 	13	0	1	 true 	0.574
AVM	Break 	14	0	1	 true 	0.877
AVM	Break 	15	0	1	 true 	0.611
AVM	Break 	16	0	1	 true 	1.108
AVM	Break 	17	0	1	 true 	0.842
AVM	Break 	18	0	1	 true 	0.987
AVM	Break 	19	0	1	 true 	0.865
AVM	Break 	20	0	1	 true 	0.554
AVM	Break 	21	0	1	 true 	0.427
AVM	Break 	22	0	1	 true 	1.081
AVM	Break 	23	0	1	 true 	0.717
AVM	Break 	24	0	1	 true 	0.824
AVM	Break 	25	0	1	 true 	0.849
AVM	Break 	26	0	1	 true 	1.134
AVM	Break 	27	0	1	 true 	1.085
AVM	Break 	28	0	1	 true 	0.622
AVM	Break 	29	0	1	 true 	0.964
AVM	Break 	30	0	1	 true 	0.586
AVM	Break 	31	0	1	 true 	0.743
AVM	Break 	32	0	1	 true 	0.754
AVM	Break 	33	0	1	 true 	0.433
AVM	Break 	34	0	1	 true 	0.696
AVM	Break 	35	0	1	 true 	0.852
AVM	Break 	36	0	1	 true 	0.750
AVM	Break 	37	0	1	 true 	1.079
AVM	Break 	38	0	1	 true 	0.984
AVM	Break 	39	0	1	 true 	0.748
AVM	Break 	40	0	1	 true 	0.820
AVM	Break 	41	0	1	 true 	0.582
AVM	Break 	42	0	1	 true 	0.596
AVM	Break 	43	0	1	 true 	0.396
AVM	Break 	44	0	1	 true 	0.724
AVM	Break 	45	0	1	 true 	0.528
AVM	Break 	46	0	1	 true 	0.388
AVM	Break 	47	0	1	 true 	1.013
AVM	Break 	48	0	1	 true 	0.401
AVM	Break 	49	0	1	 true 	1.020
AVM	Break 	50	0	1	 true 	0.516
AVM	Break 	51	0	1	 true 	0.554
AVM	Break 	52	0	1	 true 	0.725
AVM	Break 	53	0	1	 true 	0.458
